Date,Close
2021-02-08,134.94
2021-02-09,135.44
2021-02-10,133.02
2021-02-11,134.12
2021-02-12,134.9
2021-02-15,136.54
2021-02-16,136.2
2021-02-17,134.52
2021-02-18,133.38
2021-02-19,134.42
2021-02-22,131.04
2021-02-23,128.94
2021-02-24,128.04
2021-02-25,129.36
2021-02-26,126.2
2021-03-01,129.9
2021-03-02,129.84
2021-03-03,126.8
2021-03-04,125
2021-03-05,121.4
2021-03-08,124.54
2021-03-09,125
2021-03-10,126.08
2021-03-11,127.9
2021-03-12,125.76
2021-03-15,127.08
2021-03-16,130.06
2021-03-17,127.4
2021-03-18,127
2021-03-19,126.14
2021-03-22,128.72
2021-03-23,129.06
2021-03-24,127.76
2021-03-25,124.1
2021-03-26,126
2021-03-29,126.8
2021-03-30,125.76
2021-03-31,128.98
2021-04-01,130.86
2021-04-06,133.66
2021-04-07,133.74
2021-04-08,134.7
2021-04-09,134.72
2021-04-12,134.76
2021-04-13,136.32
2021-04-14,136.18
2021-04-15,137.14
2021-04-16,137.5
2021-04-19,136.26
2021-04-20,135.24
2021-04-21,135.08
2021-04-22,136.58
2021-04-23,135.1
2021-04-26,136.2
2021-04-27,136.6
2021-04-28,136.04
2021-04-29,136.54
2021-04-30,136.4
2021-05-04,132.1
2021-05-05,133.1
2021-05-06,131.74
2021-05-07,135.08
2021-05-10,131.6
2021-05-11,129.54
2021-05-12,128.1
2021-05-13,129.06
2021-05-14,130.36
2021-05-17,130.3
2021-05-18,130.76
2021-05-19,128.44
2021-05-20,131.38
2021-05-21,131.7
2021-05-24,133.16
2021-05-25,133.76
2021-05-26,134
2021-05-27,134.18
2021-05-28,134.26
2021-05-31,133.52
2021-06-01,133.54
2021-06-02,133.98
2021-06-04,133.68
2021-06-07,134.7
2021-06-08,135
2021-06-09,135.44
2021-06-10,135.56
2021-06-11,136.5
2021-06-14,137.06
2021-06-15,138.14
2021-06-16,137.62
2021-06-17,138.38
2021-06-18,138.3
2021-06-21,137.94
2021-06-22,138
2021-06-23,139.66
2021-06-24,140.84
2021-06-25,140.98
2021-06-28,141.64
2021-06-29,142.02
2021-06-30,143
2021-07-01,142.78
2021-07-02,143.86
2021-07-05,144.32
2021-07-06,144.74
2021-07-07,145
2021-07-08,143.5
2021-07-09,144.46
2021-07-12,145.36
2021-07-13,146.62
2021-07-14,146.76
2021-07-15,146
2021-07-16,144.62
2021-07-19,142
2021-07-20,143.08
2021-07-21,144.88
2021-07-22,146.08
2021-07-23,147.1
2021-07-26,147.74
2021-07-27,146.42
2021-07-28,146.44
2021-07-29,147.68
2021-07-30,146.64
2021-08-02,146.64
2021-08-03,146
2021-08-04,147.56
2021-08-05,147.9
2021-08-06,148.38
2021-08-09,148.28
2021-08-10,148
2021-08-11,147.32
2021-08-12,147.38
2021-08-13,148.2
2021-08-16,146.5
2021-08-17,147.44
2021-08-18,146.92
2021-08-19,145.6
2021-08-20,148
2021-08-23,149.1
2021-08-24,150.5
2021-08-25,150.52
2021-08-26,150.72
2021-08-27,149.8
2021-08-30,152.44
2021-08-31,152.62
2021-09-01,153.68
2021-09-02,153.4
2021-09-03,153
2021-09-06,153.8
2021-09-07,153.38
2021-09-08,152.46
2021-09-09,153.4
2021-09-10,152.6
2021-09-13,150.66
2021-09-14,150.94
2021-09-15,150.54
2021-09-16,151
2021-09-17,150.86
2021-09-20,147.06
2021-09-21,147.58
2021-09-22,148.1
2021-09-23,150.32
2021-09-24,149.48
2021-09-27,148.3
2021-09-28,145.38
2021-09-29,145.2
2021-09-30,145
2021-10-01,143.12
2021-10-04,142
2021-10-05,143.3
2021-10-06,143.3
2021-10-07,146.96
2021-10-08,145.38
2021-10-11,145.7
2021-10-12,143.54
2021-10-13,143.98
2021-10-14,146.86
2021-10-15,147.5
2021-10-18,148.42
2021-10-19,150.38
2021-10-20,150.64
2021-10-21,151.22
2021-10-22,150.98
2021-10-25,150.5
2021-10-26,152.68
2021-10-27,152.64
2021-10-28,153.58
2021-10-29,153.68
2021-11-02,156.34
2021-11-03,156.32
2021-11-04,159.24
2021-11-05,160.94
2021-11-08,159.8
2021-11-09,159.5
2021-11-10,158.78
2021-11-12,157
2021-11-15,158.58
2021-11-16,159.02
2021-11-17,159.78
2021-11-18,159.76
2021-11-19,163.34
2021-11-22,164.62
2021-11-23,158.96
2021-11-24,158.98
2021-11-25,160.88
2021-11-26,158.64
2021-11-29,160.18
2021-11-30,160.72
2021-12-01,160.88
2021-12-02,155.94
2021-12-03,153.4
2021-12-06,155.04
2021-12-07,159.9
2021-12-08,159
2021-12-09,160
2021-12-10,160.22
2021-12-13,159
2021-12-14,156.94
2021-12-15,155.4
2021-12-16,157.96
2021-12-17,154
2021-12-20,152.68
2021-12-21,153.5
2021-12-22,157.38
2021-12-23,159.68
2021-12-27,162.26
2021-12-28,162.86
2021-12-29,161.4
2021-12-30,161.74
2022-01-03,161
2022-01-04,159.22
2022-01-05,158
2022-01-07,153.02
2022-01-10,149
2022-01-11,153.3
2022-01-12,156.12
2022-01-13,155.02
2022-01-14,152
2022-01-17,153
2022-01-18,150.54
2022-01-19,149.68
2022-01-20,150.72
2022-01-21,145
2022-01-24,137.6
2022-01-25,138.24
2022-01-26,140.84
2022-01-27,139.48
2022-01-28,137.36
2022-01-31,143.9
2022-02-01,144.92
2022-02-02,147.24
2022-02-03,144.34
2022-02-04,142.04
2022-02-07,144.16
2022-02-08,142.18
2022-02-09,145.92
2022-02-10,146.86
2022-02-11,143.2
2022-02-14,139.04
2022-02-15,141.5
2022-02-16,141.3
2022-02-17,140.08
2022-02-18,138
2022-02-21,135.54
2022-02-22,137.74
2022-02-23,135
2022-02-24,132
2022-02-25,137.22
2022-02-28,140.8
2022-03-01,139
2022-03-02,136.94
2022-03-03,138.46
2022-03-04,135
2022-03-07,133
2022-03-08,129.04
2022-03-09,132.92
2022-03-10,132
2022-03-11,131.72
2022-03-14,128.5
2022-03-15,129.76
2022-03-16,134.84
2022-03-17,135.78
2022-03-18,138.96
2022-03-21,140.22
2022-03-22,142.7
2022-03-23,143.18
2022-03-24,143.1
2022-03-25,143.24
2022-03-28,144.38
2022-03-29,147.1
2022-03-30,148.5
2022-03-31,146.82
2022-04-01,144.62
2022-04-04,146.14
2022-04-05,144.9
2022-04-06,141
2022-04-07,141.5
2022-04-08,139.94
2022-04-11,136.5
2022-04-12,137
2022-04-13,137.16
2022-04-14,136.78
2022-04-19,137.3
2022-04-20,137
2022-04-21,137.76
2022-04-22,132.72
2022-04-25,129.9
2022-04-26,127.84
2022-04-27,127.72
2022-04-28,126.8
2022-04-29,128
2022-05-02,125.34
2022-05-04,125.5
2022-05-05,125.24
2022-05-06,123.86
2022-05-09,119.58
2022-05-10,120.2
2022-05-11,120.16
2022-05-12,117
2022-05-13,119.74
2022-05-16,119.3
2022-05-17,120.5
2022-05-18,119.54
2022-05-19,116.32
2022-05-20,115
2022-05-23,116.04
2022-05-24,113.5
2022-05-25,115.78
2022-05-26,118.36
2022-05-27,122.48
2022-05-30,124.2
2022-05-31,123
2022-06-01,122.36
2022-06-02,122.42
2022-06-03,121.9
2022-06-06,123.88
2022-06-07,123.06
2022-06-08,123.16
2022-06-09,122.78
2022-06-10,115.98
2022-06-13,110.68
2022-06-14,109.82
2022-06-15,111.48
2022-06-17,112.18
2022-06-20,110.34
2022-06-21,112.88
2022-06-22,113.22
2022-06-23,113
2022-06-24,116.46
